"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"71",659.4,725,662.4,618.6,719,668.8,593.75,601.25,687.6,631.2,740.4,750.333333333333,772,679.75,615.4,703.2,695.25,640.6,634.6,612.2,722,697.2,600,699.8
"72",715.4,668.6,728.4,940.6,640.6,715.8,1143.6,796.8,681.4,791,737.8,851.75,683.75,605.25,772,918.8,609.2,850,759.4,1250,612.6,622,722.2,837.4
"73",693.8,864.666666666667,890.4,786.666666666667,853.2,803.2,809.6,1068.8,743.6,931.2,975.4,972,681.6,890.6,836,1081,709.2,731.4,862.2,787.4,719,661.333333333333,792.75,827.8
"74",934.6,950.2,804.5,1136.75,972,856.2,987.8,941.5,1062.5,1050.75,879,809.2,1074.6,962.2,863.5,1152.5,784.6,1178.2,990.4,881.6,934.6,1065.8,981.4,980.5
"75",1087.4,1015.25,1268.8,1296.75,894.25,1416.33333333333,1153,1331.2,1440.6,1332,1172,1240.8,1105.5,1234.5,962.6,1178,949,1369,1246.5,934.4,1412.2,1242.25,1421.75,1228.2
"76",637.4,790.8,709.6,647,700.2,601.5,665.4,628,599.333333333333,653,646.8,706.2,581.2,648.75,612.6,711,521.6,627.8,581.2,572,637.6,696.8,640.8,643.6
"77",631,756.6,609.6,787.4,750,665.8,731.4,918,668.8,781.4,706.6,1004,731.2,906.6,668.6,731.2,615.6,691.5,656.4,693.8,846.8,675,693.8,759.8
"78",781.2,737.4,681,711,575.2,716,606.2,634.8,671.8,696.6,597,778,644,662.2,628.2,653,715.4,647,594,662.4,660,823,634.4,565.8
"79",891,921.6,671.8,883,796.8,862.4,909.6,947,746.6,915.8,712.8,815.6,840,924.8,796.8,956.2,806.4,818.6,837.6,850,803.2,697,768.6,887.4
"8",659.2,671.8,867.25,684.2,528.2,684.6,741,718.8,650.2,681.4,728,815.8,672.4,709.2,684.4,818.6,559.8,671.6,728.2,703.25,543.6,631.4,812.75,768.8
"80",1355.25,1121.25,1074.8,1571.8,971.8,1031,1171.8,790.6,730.75,1093.6,1050,1040.6,1037.6,1031,737.6,944,937.2,1149.8,818.8,1009.2,890.8,1053.2,837.6,975.2
"9",615.8,558.75,574.6,656,556.2,562.75,550.2,632.75,475,521,578,567.666666666667,521.8,556,562.8,566.25,478.2,465,531,590.4,500.2,534.2,568.8,599.8
