"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"134",742.25,843.75,859.4,1106,609.6,881,812.5,776,693.8,793,693.8,781,750.2,715.6,756.2,853,690.8,703.25,678.4,696.8,693.8,715,724.6,949.25
"135",853.2,743.6,731.2,799.8,797,834,600.2,558.5,899.8,753.2,697,734.2,781.4,849.8,672,750,700.2,621,544,590.6,725,693.8,600,584.4
"136",700.2,765.8,675.5,718.8,662.6,719,634.2,603.2,628.2,662.6,609.4,709.2,775,715.6,634.4,693.6,740.8,652.25,621.6,703,669,593.5,678,728
"137",870.75,1101.5,1203,942.666666666667,762.2,879,1068.8,879,956.6,931.2,999.6,1015.75,1062.2,859.8,771.8,968.6,734,825.2,821.8,837.2,743.6,881.2,761.5,759.2
"138",992,937.25,964.75,849,722.2,787.6,962.6,1215.6,834.6,853.4,1034.4,933.5,1018.8,836,853.6,1031.33333333333,740.4,762.6,833.333333333333,862.6,887.4,769,875,1125
"139",882.5,959.6,953.2,987.8,813,815.6,1040.8,832,844,1015.5,1050,999.4,758,909.4,828.2,941,794,837.4,881,1137.6,925.2,774.8,978.2,903.2
"14",831.2,827.8,809.2,728.2,768.6,840.8,615.6,609,706.2,697,696.6,740.4,603.4,671.666666666667,571.8,715.6,622.4,765.6,593.8,653.2,568.8,793.8,646.8,647
"140",597.2,962.4,718.8,793.8,738.25,649.8,521.4,641,653.2,593.5,624.8,609.4,622,676,643.8,803,665.6,662.6,756,737.4,587.4,737.4,547,696.6
"141",1031,1086.25,734.666666666667,1259.4,956.2,739.666666666667,773.25,1018.6,746.5,882.5,928.2,963.666666666667,835.75,987.6,1054.75,1090.6,731.4,750.5,906.4,1101.25,875.2,785.5,856.2,1097
"142",593.8,597,568.8,700,633,572,559.4,549.8,543.6,518.6,506.4,669,534.2,625.4,562.8,600.2,537.6,625.2,515.8,556.6,528,674.8,503,597
"143",715.8,716,1291.66666666667,703,787.4,731.2,644,788.75,700.2,1093.75,1343.4,1068.6,746.8,787.6,820,789,571.8,737.4,1406.2,771.8,681.2,578.666666666667,693.8,812.4
"144",577.8,687.75,634.2,645.666666666667,571.6,593.8,565.6,606,493.8,672,618.8,675.2,609.2,707,587.6,706.2,558.75,656.4,565.2,653.4,518.6,570.5,565.4,578.2
"145",606.4,710.75,662.6,712.2,603.2,652.25,659,696.8,577.8,678,700.2,703,543.8,603.2,647,726.5,531.2,734.8,650,659.4,528,671.8,612.2,728.2
"146",790.8,1093.75,615.4,929.5,915.6,771.6,821.8,1018.6,1006.4,984.2,1012.4,878,972.75,965.6,1398,957,915.4,1168,903,688,816,993.6,746.8,922.2
"147",784.4,756.4,615.6,728,762.8,656.2,672,715.6,609.25,747,621.8,828.5,753.2,742,715.8,722,668.8,665.6,662.6,609.4,597.5,724.8,699.8,787.8
"148",1178,765.6,718.333333333333,915.6,750,699.8,885.333333333333,840.4,894.75,737.6,1226.25,1209.6,952.8,956.2,987.6,1402.8,762.4,753,981.2,1105.5,1040.6,789,1134.2,968.8
"149",893.4,992.25,759.4,691.25,784.6,750,602.8,740.6,619.666666666667,675,603.2,634.4,781.6,662.6,625,640.8,922,643.6,574.25,687.4,734.2,696.8,672,496
"15",581.2,594,665.8,679.5,541,672,681,693.8,534.4,646.8,584.4,697,609.4,619.333333333333,615.8,632.75,534.4,551,565.6,656.25,472,596.8,556.4,596.8
"150",759.4,746.25,796.8,778.2,584.2,1000.2,953,828.25,634.4,709.6,691.25,756.2,609.4,718.8,794,757.75,628.2,837.6,700.2,640.8,596.8,715.8,934.4,863.25
"151",1275,1275.2,1437.6,1223.66666666667,915.8,1328.4,1087.6,898.5,1065.6,959.2,1371,1278,722,809.4,800.2,1359.4,640.8,781.4,778,997,643.8,853.2,1287.4,1281.6
"152",1115.6,1059.6,1109.6,1106.2,1281.6,1034.4,925.2,1153.2,1219,1290.6,765.8,1056.2,981.2,1290.8,1181.2,989.666666666667,1640.8,1275,999.8,1184.4,1244,865.6,1234.5,1121.6
"153",1000,1093.33333333333,865.6,1082.25,800,968.6,1218.75,878.75,886.75,925.2,753.75,1597.5,862.4,899.8,781.4,1109.5,818.8,719.2,812.2,1300,966,912.6,843.6,987.6
"154",684.2,652.8,647,789.25,676,940.4,789.5,671.8,656.2,771.8,631.4,781.5,812.8,660.25,678.2,944.2,584.4,743.8,613.25,669,634.4,693.8,772,672
"155",1096.6,1179.5,1097,1037.8,565.8,761.75,875,999.8,690.4,1212.4,1200,890.8,1012,957,789.25,1309.4,799.8,993.6,862.6,765.4,750.2,809.2,703.2,846.8
"156",649.8,593.6,554.75,584.6,543.8,656,549.8,656.4,528.4,562.2,575,650.2,549.8,553.2,559.2,697.666666666667,549.8,525.2,515.4,565.4,484.2,515.75,509.4,628
"157",743.8,851.5,718.8,784.6,694,741.2,703.2,828.4,687.6,660,743.6,790.6,824,765.5,609.25,771.8,765.5,806,765.4,818.4,690.8,834.2,774.8,758
"158",624.6,934.2,825,628,684.6,656.2,656.2,647,765.8,656.4,863,721.6,596.8,665.8,609.4,777.25,675.2,637.6,659.4,653.2,731.4,778.4,731,818.6
"159",665.4,956.2,818.6,847,634.2,716,843.6,797,634.2,865.4,718.75,740.8,709.4,768.6,693.8,750,693.8,656.2,828.4,1025.66666666667,699.25,962.6,725.4,781.25
"16",824.6,787.6,740.4,706.2,802.8,800.2,768.8,820.5,718.8,1062.66666666667,675.2,765.5,831,855.5,806.4,765.8,659.6,775.2,649.8,903,797,793.8,687.6,731.4
"160",769,890.6,1284.4,1240.6,956,969,744,1305,789,715.6,859.4,1046.8,1037.6,846.8,1190.6,1040.8,972.25,875.2,871.25,1412.6,837.4,1118.8,897.2,1015.8
"161",690.6,738.25,681.2,757.5,627.8,759.2,677.8,634.4,671.8,790.6,643.6,659.4,803.2,800.2,650.2,771.8,709.2,750.2,676.25,664,675.75,781.4,649.6,696.6
"17",865.6,990.4,755.8,913.75,1037.6,628.4,1003.2,1074.25,934.6,940.6,1078.2,716,818.6,706.2,800.4,855.25,671.8,715.6,872.2,721.8,874.75,893.8,773.5,713.333333333333
"18",553,649.8,710.75,834.4,556,609,643.8,784.4,578.4,806.2,925,709.4,649.8,713.666666666667,600.2,679.75,640.8,650,575.2,772,665.4,675,587.6,650
"19",715.6,850,668.8,725,700.2,768.6,603.2,675,734.4,693.8,659.2,681,706.6,711,562.4,581.2,656,765.5,634.6,615.4,678.2,703.4,550,624.8
"2",615.4,624.6,687.8,775.4,671.6,640.4,612.2,915.6,581.2,781.4,855.75,718.6,615.4,806.4,696.8,882.75,590.8,603.2,653,693.8,578.4,759.4,668.25,765.4
"20",684.2,684.4,675.2,881.2,547,687.6,593.8,750,734.4,602.8,690.6,929.5,659.2,784.8,709.4,941.5,890.6,737.4,794.2,772,750,809.6,669,952.8
"20545",850,972.5,828,762.6,903.2,984.6,778.2,784.6,828.4,816.25,718.8,756.6,740.6,851.5,691.5,754.25,771.6,747,759.2,840.4,800.4,850.4,772,784.6
"20566",812.4,745,659.8,696.6,662.6,853,668.4,668,605.5,824.8,612.6,775,743.8,749.75,721.8,765.6,781.25,818.8,699.6,618.4,684.2,759.4,656.4,640.666666666667
"20567",928.2,750.2,849.8,687.6,809.8,918,896.8,781,968.8,693.8,865.4,740.6,778.4,728.4,815.6,818.4,753.2,940.6,703.2,715.4,687.6,726.75,687,722
"21",818.8,1006.2,976.25,909.4,828.2,678,847,962.4,953.2,843.8,825,1050,691.5,750,1152.5,818.4,671.8,728.4,909.2,867.25,753.2,884.4,944,894
"22",803.2,862.8,787.2,962.6,668.8,781.4,718.6,840.8,793.6,768.4,703.2,853,715.25,737.4,884.4,946.8,631.4,790.4,781.2,737.6,615.6,793,778.4,796.8
"23",796.8,840.8,656.4,644.75,593.6,765.5,806.4,715.6,759.6,781,659.4,690.6,768.6,828.25,665.6,724.8,706.2,709.2,634.4,690.8,809.2,765.6,625,625
"24",637.6,650,556.4,640.8,668.6,615.8,521.8,612.6,603,731.2,490.6,609.25,603,568.6,621.8,553,487.6,656,496,550.2,527.25,678.2,534.2,522
"25",881.2,1000,759.2,903.2,806,853.2,754,803.2,893.6,961,668.6,785.25,887.6,881.2,700.2,864.666666666667,659.4,946.8,743.6,712.4,915.8,740.8,747.2,721.6
"26",712.2,793.8,662.2,828,653,868.6,746.6,996.8,740.6,789,765.6,746.6,734.2,750.25,734.2,806,622,740.4,681,675.2,627.8,668.8,584.6,775
"27",684.2,819,675.2,793,650,659.4,771.8,703.4,709.4,671.8,712.4,796.6,681,672,768.8,694,612.4,759.2,678,650.2,609.2,633,662.4,615.6
"28",676,671.75,643.6,572.2,619,587.4,643.8,546.6,613.5,730.5,587.4,684.4,627.8,759.8,621.8,643.6,609.4,597.25,656,646.8,559.4,731.2,584.4,637.4
"29",678,662.6,664,825.4,599.6,787.4,718.75,597,653.4,695,525.2,836.25,656.2,664.5,537.4,634.2,600,696.6,699,512.4,562.4,747,700,820
"3",671.4,859.4,794,893.6,846.6,856.2,691,769,625,840.4,865.4,843.8,656.25,837.4,818.6,821.8,643.8,675.2,650,700,772,753.2,649.8,687.6
"31",1025,871.8,1003.5,859.4,872,816.5,837.4,897,872,871.6,787.6,747,746.6,850.2,855.5,859.4,900.2,937.2,728.2,681.2,738.5,909.2,778,709.4
"32",534.2,679.5,515.4,453.5,484.6,553.2,518.8,543.8,521.8,690.8,554.5,528,690.8,528,496.6,593.6,474.8,521,478.2,531,462.6,621.8,540.4,515.4
"33",593.666666666667,761.75,672,681.2,570.25,753,512.6,512.6,531.2,709.6,765.6,531.25,625,637.6,550.75,512.6,587.4,643.6,522.2,540.6,609.4,562.5,509.6,496.6
"34",999.8,684,815.8,790.4,912.4,601.75,809.6,797,747,921.75,668.8,1086,812.6,837.6,725.2,1040.6,646.6,787.6,931.4,931.2,684.2,584.4,815.8,868.6
"35",603,731.2,515.6,612.4,546.75,752.6,737.4,625.2,781.25,693.4,659.2,652.8,687.4,593.8,581,565.4,553.4,612.4,703.4,675.75,543.6,597.75,559,803.2
"37",790.8,1043.8,847.75,968.6,809,943.4,803.2,775,837.4,753.5,910.25,662.4,921.8,812.75,812.8,874.75,700.2,843.6,706,821.8,746.8,778.2,668.8,942.666666666667
"4",656.4,722.5,631.2,553,828.2,775.4,725.2,565.6,746.6,737.4,643.4,558.25,612.4,624.8,597,624.5,509.2,606.4,544,772,556.4,568.8,574.8,628
"40",818.8,690.8,746.8,718.6,718.4,648.5,790.6,741.75,740.8,812.333333333333,690.6,719.2,675,699.8,632.5,715.6,596.6,715.4,599.6,640.75,756.2,652.5,703,606.6
"41",709.4,702.8,875,837.6,703.2,753.4,778.2,902.8,603.4,787.6,781.4,772,578,621.8,637.6,746.8,628,640.6,793.6,700,672,630.8,818.8,789.25
"42",778.2,803.4,940.4,828,750.2,844,868.8,894,718.75,768.6,849.6,754,768.8,727.8,1197,859,699.8,743.8,769.75,1224,712.6,878.2,980.5,974.8
"44",1140.25,1034.6,775.2,1031,865.8,831.4,1144,1178,992.25,1169.2,1125,976.5,974.8,1034.2,1084.6,924.8,726.5,1096.6,809.2,993.8,821.4,1047,974.8,831
"46",1062.5,943.8,756.4,949,941,1332.25,803,837.2,903.2,1106.4,948.75,1184.2,1118.8,934.4,828.4,687.6,946.8,772,703.2,778.2,884.4,1242.25,718.6,656.4
"47",640.6,709.2,740.4,621,615.8,674.6,665.6,731,693.6,687.2,659.6,581.2,597.2,596.8,660,540.6,534.4,559.4,625.25,634.4,631.4,631.2,531.2,668
"48",647.2,832.25,778,718.8,722.75,797,803,797,759.6,824.25,703.2,684.6,744.666666666667,691.5,953.4,706.2,762.4,728,553.2,740.6,687.6,679.5,636.75,637.6
"5",969,915.6,1227.8,756.4,725.2,778,656.4,825,790.6,987.6,1040.6,737.6,1093.6,1115,884.2,809.6,775,744.666666666667,825.2,687.4,897,1140.8,690.6,921.75
"50",725.4,621.25,618.8,662.8,659.2,724.8,653.4,570,568.6,678,617.5,578.25,590.4,681.2,625,574.8,565.6,614.666666666667,656.2,603.4,534.6,643.8,537.6,612.2
"51",567.666666666667,634.4,524.8,601.5,562.4,590.4,581.2,668.8,572.4,531.2,609.4,643.8,600.2,631.2,581.2,582,559.4,656.4,546.8,581.6,537.4,550.2,600,609.4
"52",912.4,678,734.5,787.4,706.4,728.2,996,672,600.2,753.2,773.5,812.333333333333,700,628,887.4,856.2,619,606.6,712.6,637.2,628.2,678,652.8,712.2
"53",605.5,637.4,550,656.2,574.8,556.2,568.8,571.8,603.2,594,578.25,587.6,625.2,599.8,615.4,559.4,615.6,594,581.4,600,632.5,589.5,650,597.5
"54",612.4,542.75,590.8,753.4,481.4,593.6,910,606.2,521.8,647,618.8,718.5,581.4,493.6,603,674.8,484.4,452.75,612.4,665.6,496.8,596.6,554.75,590.6
