"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"77",1062.2,804.75,984.333333333333,812.666666666667,1086.5,781.2,1153,1128.75,769.75,769.5,894.75,1140.5,865.6,999.75,1156.4,1124.75,738.25,1209.4,1053.4,946.6,756.4,859.25,996.8,1100
"78",925.4,756.2,884.2,950.2,825,890.6,677.8,1034.2,1128.2,828.2,993.8,749.8,846.8,856.2,803,1193.8,893.6,743.6,946.6,722,1039,887.6,899.8,831.2
"79",1297,1190.6,1165.4,1368.8,896.8,1246.8,1125,862.4,1172,905.8,803,1106.4,933.25,1203.2,1303.2,1268.6,957,809.2,976.75,1006.6,1164,1009.4,925,1225.2
"8",987.2,950.2,724.8,893.8,862.2,719,1053,878.2,844,844,790.8,899.8,909.4,828.25,777,793.8,721.8,871.8,700,918.6,765.75,809.2,746.8,734.2
"80",1084.2,931,1081.4,896.8,853.2,793.8,737.6,883,1115.6,731,831,993.6,859.4,981.2,1062.4,1230.5,671.8,949.25,1062.4,1128.2,953.2,776.333333333333,1122,956.75
"81",643.8,668.8,653.2,797,712.6,753.75,634.6,634.4,662.6,583,737.2,687.4,665.8,772.2,636.75,672,622,615,650,625,656.25,765.4,647,650.4
"82",881.4,1034.4,956.4,790.8,865.8,778.4,796.4,712.2,937.6,1018.8,768.4,984.6,831.6,934.4,762.4,784.4,840.6,918.8,794.2,837.4,859.2,802.333333333333,768.6,734.6
"83",977.8,941.5,1018.8,1043,687.8,1031.4,1118.6,771.8,868.6,988.5,740.8,855.25,699.25,1015.6,653,832,697.2,790.8,728,653.2,718.4,734.4,746.8,753.2
"84",740.6,718.6,725.2,834.2,653,743.6,640.4,800.2,754,778,731.6,793.6,737.8,691.5,690.6,647,684.4,644.5,625,718.8,728.2,746,605.5,759.4
"85",1093.8,903.2,863.25,1291,1250,1159.4,1162.6,1037.8,968.8,818.8,884.4,962.6,849,617.5,719,961,700,853.4,875,946.8,731.4,850.2,731.4,1015.4
